,CAT,CB,CBG,CBS,CCE,CCI,CCL,CELG,CERN,CF,CHK,CHRW,CI,CINF,CL,CLX,CMA,CMCSA,CME,CMG,CMI,CMS,CNP,CNX,COF
CHK,0.0220223892229,0.0133893173826,0.0176647763042,0.0203641393992,0.0155526554575,0.00884241097892,0.0141840553749,0.0112882885092,0.0162869476813,0.0139509211024,0.166428897915,0.0156994404629,0.0147283090886,0.0170449308498,0.010821694587,0.00702775791539,0.0302992085876,0.0167203962898,0.015732393378,0.011049302205,0.022632334202,0.0101284009606,0.0162307721958,0.0282283057856,0.0213608336282
CHRW,0.0129896248873,0.00948908280522,0.013423829918,0.015265200104,0.0128002725894,0.00756125042796,0.0135181281227,0.017854774413,0.014721553083,0.0107313458421,0.0156994404629,0.0464045609614,0.0111179187172,0.0108326880693,0.00843088331916,0.00583326191295,0.0145990450106,0.0122565098721,0.0109547313997,0.0112976806521,0.0151399288357,0.00664060856922,0.00950936298519,0.0135608008436,0.013448009352
CI,0.0126306866389,0.00951186373703,0.0129086854205,0.0145449686755,0.0124721974753,0.00751258878418,0.0130992312907,0.0169407097685,0.0138101182228,0.0104226917345,0.0147283090886,0.0111179187172,0.0571045078097,0.0105067261429,0.00850832196898,0.00593179070282,0.0135404163602,0.0120147255018,0.0105676531702,0.0103787215395,0.0145335743645,0.00682922587029,0.00962262832949,0.012750897042,0.0128153601527
CINF,0.013026874399,0.00944506585084,0.0125620387334,0.014174340436,0.0119744232952,0.00718637114661,0.0122398311501,0.0146819939354,0.0129402015927,0.0101334685474,0.0170449308498,0.0108326880693,0.0105067261429,0.0200000028242,0.00830022620865,0.0057266836971,0.0147096571421,0.0118120184341,0.0104797316648,0.00947406801171,0.0145322494087,0.00691357785289,0.00997452788904,0.0138704063568,0.0129849739248
CL,0.0100125593753,0.00796342205074,0.0100635735496,0.0111447435604,0.00996593564808,0.00621041695953,0.0103801722774,0.0129637099006,0.0102913910514,0.00827446390471,0.010821694587,0.00843088331916,0.00850832196898,0.00830022620865,0.0194511503897,0.00509070155363,0.00976527162182,0.00968994982956,0.00827710170426,0.00742236824379,0.0112752276689,0.00594963512291,0.00816098634464,0.00945386490175,0.00979841870035
CLX,0.00687726573399,0.0055859571388,0.00700306250489,0.00772640388504,0.00699242444763,0.00438798132316,0.0073234352959,0.00926451173112,0.00717446409661,0.00577937601959,0.00702775791539,0.00583326191295,0.00593179070282,0.0057266836971,0.00509070155363,0.0196328633518,0.0064555018325,0.00676790936602,0.00573509777767,0.00517146100465,0.00777940402827,0.00418286639506,0.00567382341878,0.00629026080154,0.00671430113591
CMA,0.0185081536835,0.0117345831783,0.0163668511788,0.0188890628774,0.0147278259378,0.00837431295524,0.0143476801904,0.0150503116457,0.0165094306371,0.0128947838337,0.0302992085876,0.0145990450106,0.0135404163602,0.0147096571421,0.00976527162182,0.0064555018325,0.0465506804943,0.0150744356547,0.0140734558394,0.0120441509274,0.0200186243808,0.0084874570415,0.0132740778857,0.0226826868251,0.0185791559619
CMCSA,0.0142678880719,0.0108321900721,0.0143387798655,0.0160818991377,0.0139148272782,0.00845978615716,0.0145010424908,0.0183003126837,0.0150312465709,0.0116357756006,0.0167203962898,0.0122565098721,0.0120147255018,0.0118120184341,0.00968994982956,0.00676790936602,0.0150744356547,0.0335848511889,0.0117995044695,0.0111114346668,0.0162114757502,0.00790224711949,0.0110982269163,0.014304641748,0.0142760272727
CME,0.0126943590899,0.00933942900403,0.0126723204464,0.0143157456178,0.0121376560312,0.00726928594877,0.0126144652851,0.0158831618166,0.013410089237,0.0102060099999,0.015732393378,0.0109547313997,0.0105676531702,0.0104797316648,0.00827710170426,0.00573509777767,0.0140734558394,0.0117995044695,0.0350157972867,0.0100148096488,0.0144443389817,0.00672890222829,0.00961492490233,0.0132231324701,0.0128318322909
CMG,0.0109477982025,0.00817603631871,0.0127053740125,0.0145926116056,0.0121593282386,0.00703736325789,0.0134673205011,0.0200537927922,0.0151772078501,0.0100366882793,0.011049302205,0.0112976806521,0.0103787215395,0.00947406801171,0.00742236824379,0.00517146100465,0.0120441509274,0.0111114346668,0.0100148096488,0.0732530466836,0.0137472072895,0.0052807914254,0.00740833897656,0.0109002417079,0.0120677612657
CMI,0.017665538341,0.012795331583,0.0174484054052,0.0197603610914,0.0166089958667,0.0098928625707,0.0171772456438,0.0213750503179,0.0184177500797,0.014016734379,0.022632334202,0.0151399288357,0.0145335743645,0.0145322494087,0.0112752276689,0.00777940402827,0.0200186243808,0.0162114757502,0.0144443389817,0.0137472072895,0.0426396996719,0.00920777871225,0.0132781807169,0.018758910623,0.017866787553
CMS,0.00849960054835,0.00664817475554,0.00801269314446,0.00882001846514,0.00791335933112,0.0049855981636,0.00799689695943,0.00908348674794,0.00771250806308,0.00663299258036,0.0101284009606,0.00664060856922,0.00682922587029,0.00691357785289,0.00594963512291,0.00418286639506,0.0084874570415,0.00790224711949,0.00672890222829,0.0052807914254,0.00920777871225,0.0279361065777,0.00711348719399,0.00829774403706,0.00806506748944
CNP,0.0123790596996,0.00926132310684,0.0113329044275,0.0125763124733,0.0109842905544,0.00681477165139,0.0109333993851,0.0118951490407,0.010833047988,0.00930722412842,0.0162307721958,0.00950936298519,0.00962262832949,0.00997452788904,0.00816098634464,0.00567382341878,0.0132740778857,0.0110982269163,0.00961492490233,0.00740833897656,0.0132781807169,0.00711348719399,0.0339457120399,0.0128235110681,0.0117989950903
CNX,0.0174803468374,0.0112956899718,0.0153400011986,0.0176040250528,0.0139196703693,0.0080249988605,0.0135024476051,0.0138638518406,0.0151944390717,0.012162708905,0.0282283057856,0.0135608008436,0.012750897042,0.0138704063568,0.00945386490175,0.00629026080154,0.0226826868251,0.014304641748,0.0132231324701,0.0109002417079,0.018758910623,0.00829774403706,0.0128235110681,0.105444633589,0.0173462896407
COF,0.0158735937956,0.0112223569146,0.0154116468059,0.0175195783338,0.0145282365701,0.00858008073404,0.0149025745319,0.018169238278,0.0161911009568,0.0123326961927,0.0213608336282,0.013448009352,0.0128153601527,0.0129849739248,0.00979841870035,0.00671430113591,0.0185791559619,0.0142760272727,0.0128318322909,0.0120677612657,0.017866787553,0.00806506748944,0.0117989950903,0.0173462896407,0.0380258204764
