Fama-French Factors,,,,
,,,,
Date,RF,Mkt-RF,SMB,HML
2014/6/11,0,-0.34,-0.12,-0.33
2014/6/10,0,-0.03,-0.18,-0.01
2014/6/9,0,0.22,1.01,-0.36
2014/6/6,0,0.54,0.46,-0.04
2014/6/5,0,0.77,1.29,-0.18
2014/6/4,0,0.28,0.22,-0.13
2014/6/3,0,-0.05,-0.25,0.23
2014/6/2,0,0.06,-0.67,0.36
2014/5/30,0,0.06,-0.64,0.26
2014/5/29,0,0.54,-0.21,-0.1
2014/5/28,0,-0.11,-0.34,0.38
2014/5/27,0,0.69,0.68,-0.18
2014/5/23,0,0.49,0.62,-0.29
2014/5/22,0,0.36,0.6,-0.23
2014/5/21,0,0.81,-0.25,-0.04
2014/5/20,0,-0.78,-0.81,0.28
2014/5/19,0,0.5,0.63,-0.13
2014/5/16,0,0.36,0.24,-0.43
2014/5/15,0,-0.9,0.33,-0.22
2014/5/14,0,-0.6,-1.13,-0.29
2014/5/13,0,-0.05,-1.06,0.25
2014/5/12,0,1.2,1.42,-0.42
2014/5/9,0,0.25,0.68,-0.47
2014/5/8,0,-0.26,-0.98,0.24
2014/5/7,0,0.45,-0.77,1.26
2014/5/6,0,-1.03,-0.54,0.19
2014/5/5,0,0.13,-0.3,-0.47
2014/5/2,0,-0.07,0.26,0.2
2014/5/1,0,0.04,-0.17,-0.18
2014/4/30,0,0.35,0.24,-0.03
2014/4/29,0,0.56,-0.23,-0.23
2014/4/28,0,0.11,-0.64,-0.46
2014/4/25,0,-1.05,-0.94,0.61
2014/4/24,0,0.08,-0.4,-0.09
2014/4/23,0,-0.31,-0.58,0.85
2014/4/22,0,0.58,0.69,-0.37
2014/4/21,0,0.36,0.18,-0.44
2014/4/17,0,0.23,0.32,0.22
2014/4/16,0,1.13,0,-0.36
2014/4/15,0,0.59,-0.36,0.23
2014/4/14,0,0.7,-0.51,0.21
2014/4/11,0,-1.07,-0.38,0.3
2014/4/10,0,-2.24,-0.7,0.98
2014/4/9,0,1.2,0.31,-0.89
2014/4/8,0,0.5,0.31,-0.19
2014/4/7,0,-1.26,-0.28,0.03
2014/4/4,0,-1.47,-1.13,0.81
2014/4/3,0,-0.31,-0.85,0.73
2014/4/2,0,0.29,0.05,0.21
2014/4/1,0,0.87,0.72,-0.51
2014/3/31,0,0.97,0.98,-0.17
2014/3/28,0,0.41,-0.43,0.52
2014/3/27,0,-0.19,-0.14,-0.27
2014/3/26,0,-0.89,-1.17,0.31
2014/3/25,0,0.3,-0.33,0.15
2014/3/24,0,-0.64,-0.86,0.97
2014/3/21,0,-0.37,-0.24,0.92
2014/3/20,0,0.52,-0.44,0.78
2014/3/19,0,-0.59,-0.15,0.53
2014/3/18,0,0.82,0.73,-0.45
2014/3/17,0,0.9,-0.36,-0.03
2014/3/14,0,-0.16,0.65,0.04
2014/3/13,0,-1.21,-0.13,0.34
2014/3/12,0,0.13,0.27,-0.15
2014/3/11,0,-0.62,-0.54,-0.19
2014/3/10,0,-0.09,-0.1,0.03
2014/3/7,0,0.04,-0.1,0.41
2014/3/6,0,0.16,-0.3,0.72
2014/3/5,0,0.01,-0.27,0.2
2014/3/4,0,1.67,1.1,-0.23
2014/3/3,0,-0.7,0.09,0.13
2014/2/28,0,0.15,-0.68,0.82
2014/2/27,0,0.54,0.15,0.01
2014/2/26,0,0.12,0.65,-0.23
2014/2/25,0,-0.1,0.12,-0.57
2014/2/24,0,0.65,0.21,0.25
2014/2/21,0,-0.09,0.33,-0.03
2014/2/20,0,0.7,0.54,-0.04
2014/2/19,0,-0.74,-0.3,-0.38
2014/2/18,0,0.27,0.96,-0.27
2014/2/14,0,0.42,-0.34,0.41
2014/2/13,0,0.72,0.73,-0.08
2014/2/12,0,0.11,0.22,-0.07
2014/2/11,0,1.09,-0.19,0.27
2014/2/10,0,0.16,0.1,-0.46
2014/2/7,0,1.33,-0.18,-0.62
2014/2/6,0,1.21,-0.47,0.22
2014/2/5,0,-0.23,-0.6,0.14
2014/2/4,0,0.77,-0.05,-0.14
2014/2/3,0,-2.48,-0.85,0.31
2014/1/31,0,-0.66,-0.05,-0.19
2014/1/30,0,1.22,0.27,-0.37
2014/1/29,0,-1.07,-0.39,0.27
2014/1/28,0,0.73,0.15,-0.1
2014/1/27,0,-0.65,-0.82,0.46
2014/1/24,0,-2.19,-0.38,0.17
2014/1/23,0,-0.86,0.15,-0.4
2014/1/22,0,0.15,0.26,0.2
2014/1/21,0,0.3,0.45,0.02
2014/1/17,0,-0.39,0.03,0.03
2014/1/16,0,-0.07,0.29,-0.65
2014/1/15,0,0.53,0.22,0.12
2014/1/14,0,1.15,0.14,-0.38
2014/1/13,0,-1.32,-0.06,0.1
2014/1/10,0,0.27,0.5,-0.69
2014/1/9,0,0.02,0.15,-0.34
2014/1/8,0,0.04,0.02,-0.23
2014/1/7,0,0.68,0.37,-0.39
2014/1/6,0,-0.34,-0.56,0.26
2014/1/3,0,0.03,0.37,0.03
2014/1/2,0,-0.88,-0.24,0.11
2013/12/31,0,0.44,-0.19,0.09
2013/12/30,0,0,0.02,-0.32
2013/12/27,0,-0.05,-0.05,0.3
2013/12/26,0,0.44,-0.31,-0.35
2013/12/24,0,0.34,0.11,0.14
