Final Project: Stock Data,,,,,,
,,,,,,
Group,Symbol,Price,ADV,Volatility,LnMktCap,EstReturn %
12,LYB,92.96,"3,792,000",0.2765,24.5,0.13
12,M,69.06,"4,479,000",0.2322,23.25,0.14
12,MA,97.4,"5,300,000",0.2121,25.43,0.12
12,MAC,78.53,"1,075,000",0.2018,23.25,0.14
12,MAR,72.36,"2,261,000",0.192,23.63,0.13
12,MAS,26.39,"4,723,000",0.2618,23.05,0.12
12,MAT,22.82,"3,944,000",0.2327,22.84,0.14
12,MCD,98.99,"5,671,000",0.1355,25.4,0.08
12,MCHP,42.84,"2,052,000",0.2267,22.98,0.11
12,MCK,220.26,"1,226,000",0.1863,24.5,0.12
12,MCO,110.09,"1,000,000",0.1985,23.74,0.10
12,MDLZ,45.13,"8,595,000",0.1813,24.97,0.11
12,MDT,78.39,"6,309,000",0.1755,25.41,0.13
12,MET,55.37,"6,160,000",0.2117,24.75,0.13
12,MHFI,101.4,"1,316,000",0.1927,23.99,0.13
12,MHK,201.59,"792,000",0.2328,23.38,0.14
12,MJN,88.39,"1,443,000",0.2014,23.5,0.13
12,MKC,82.01,"607,000",0.1467,23.12,0.11
12,MLM,156.44,"756,000",0.2664,23.09,0.16
12,MMC,57.94,"2,024,000",0.1366,24.09,0.10
12,MMM,150.29,"2,471,000",0.1524,25.3,0.08
12,MNK,123.96,"1,469,000",0.3075,22.78,0.16
12,MNST,153.55,"1,380,000",0.3351,24.16,0.19
12,MO,54.38,"7,380,000",0.1512,25.45,0.09
13,MON,101.89,"3,141,000",0.1778,24.46,0.12
13,MOS,42.65,"3,687,000",0.1953,23.14,0.13
13,MPC,54.36,"6,429,000",0.2915,24.14,0.16
13,MRK,58.96,"10,987,000",0.1722,25.74,0.09
13,MRO,20.76,"6,473,000",0.2709,23.25,0.13
13,MS,38.84,"10,640,000",0.2118,24.9,0.09
13,MSFT,46.39,"36,872,000",0.2271,26.8,0.13
13,MSI,60.16,"1,653,000",0.1671,23.43,0.11
13,MTB,130.39,"772,000",0.1581,23.53,0.11
13,MU,18.51,"30,467,000",0.4089,23.55,0.23
13,MUR,32.45,"1,698,000",0.2613,22.35,0.14
13,MYL,55.99,"5,168,000",0.3268,23.93,0.15
13,NBL,35.23,"2,912,000",0.2975,23.49,0.17
13,NDAQ,51.03,"1,188,000",0.1889,22.98,0.14
13,NEE,104.39,"2,045,000",0.1646,24.55,0.08
13,NEM,17.14,"8,341,000",0.3898,22.98,0.23
13,NFLX,114.31,"19,494,000",0.4313,24.69,0.24
13,NFX,32.79,"2,992,000",0.4195,22.59,0.22
13,NI,17.46,"5,259,000",0.1903,22.55,0.12
13,NKE,114.93,"3,574,000",0.1903,25.45,0.10
13,NLSN,48.15,"2,361,000",0.1912,23.56,0.10
13,NOC,172.17,"1,258,000",0.1827,24.26,0.07
13,NOV,42.13,"4,423,000",0.2541,23.4,0.12
13,NRG,22.45,"3,921,000",0.2638,22.1,0.12
